refdes,device,footprint,value,manufacturer,man part no,supplier,supp par no,price GBP,notes,,,,,,
U3,AD5064-1,TSSOP14,,ANALOG DEVICES,AD5064BRUZ-1,Farnell,2067838,16.01,RS has stock,Digikey,AD5064BRUZ-1-ND,22.21,RS,820-9179,17.559
U1,AD7609,LQFP64_10,,ANALOG DEVICES,AD7609BSTZ,Farnell,2008665,20.71,Farnell best for stock?,Digikey,AD7609BSTZ-ND,29.29,RS,806-7802,23.634
U6,AD8639,SO8,,ANALOG DEVICES,AD8639ARZ,Farnell,2067779,3.66,,Digikey,AD8639ARZ-ND ,3.76,RS,709-7250,2.898
U2,ADR421,SO8,,ANALOG DEVICES,ADR421ARZ,Farnell,9426094,4.6,,Digikey,ADR421ARZ-ND,4.79,RS,497-2369,3.699
U4,ADR4540,SO8,,ANALOG DEVICES,ADR4540ARZ,Farnell,2112691,3.49,,Digikey,ADR4540ARZ-ND,4.73,RS,802-3903,3.654
C5,CAPACITOR,"0805",100nF,MULTICOMP,MC0805B104K500CT,Farnell,1759265,,Free,,,,,,
C6,CAPACITOR,"0805",100nF,MULTICOMP,MC0805B104K500CT,Farnell,1759265,,Free,,,,,,
C7,CAPACITOR,"0805",100nF,MULTICOMP,MC0805B104K500CT,Farnell,1759265,,Free,,,,,,
C8,CAPACITOR,"0805",100nF,MULTICOMP,MC0805B104K500CT,Farnell,1759265,,Free,,,,,,
C9,CAPACITOR,"0805",100nF,MULTICOMP,MC0805B104K500CT,Farnell,1759265,,Free,,,,,,
C10,CAPACITOR,"0805",100nF,MULTICOMP,MC0805B104K500CT,Farnell,1759265,,Free,,,,,,
C11,CAPACITOR,"0805",100nF,MULTICOMP,MC0805B104K500CT,Farnell,1759265,,Free,,,,,,
C12,CAPACITOR,"0805",100nF,MULTICOMP,MC0805B104K500CT,Farnell,1759265,,Free,,,,,,
C13,CAPACITOR,"0805",100nF,MULTICOMP,MC0805B104K500CT,Farnell,1759265,,Free,,,,,,
C15,CAPACITOR,"0805",100nF,MULTICOMP,MC0805B104K500CT,Farnell,1759265,,Free,,,,,,
C17,CAPACITOR,"0805",100nF,MULTICOMP,MC0805B104K500CT,Farnell,1759265,,Free,,,,,,
C3,CAPACITOR,"0805",10uF,MULTICOMP,MC0805X106K250CT,Farnell,2320833,0.128,,,,,,,
C4,CAPACITOR,"0805",10uF,MULTICOMP,MC0805X106K250CT,Farnell,2320833,0.128,,,,,,,
C14,CAPACITOR,"0805",10uF,MULTICOMP,MC0805X106K250CT,Farnell,2320833,0.128,,,,,,,
C16,CAPACITOR,"0805",10uF,MULTICOMP,MC0805X106K250CT,Farnell,2320833,0.128,,,,,,,
C1,CAPACITOR,"0805",1uF,MULTICOMP,MC0805B105K250CT,Farnell,2320827,,Free,,,,,,
C2,CAPACITOR,"0805",1uF,MULTICOMP,MC0805B105K250CT,Farnell,2320827,,Free,,,,,,
J4,HEADER12_2,HEADER12_2,,MULTICOMP,2214S-12SG-85,Farnell,1593491,0.48,Generic 12 pin receptacle. Alt: Farnell CN18451,,,,,,
J1,HEADER16_2,HEADER16_2,,MULTICOMP,2214S-16SG-85,Farnell,1593492,0.93,Generic 16 pin receptacle. Alt: Farnell CN18452,,,,,,
J2,HEADER46_2,HEADER46_2,,SAMTEC,TSW-123-07-F-D,Farnell,2025194,2.32,Generic 46 pin header. Mount on underside of the board (alt: HARWIN M20-9983645 and cut down to size),,,,,,
J3,HEADER46_2,HEADER46_2,,SAMTEC,TSW-123-07-F-D,Farnell,2025194,2.32,Generic 46 pin header. Mount on underside of the board (alt: HARWIN M20-9983645 and cut down to size),,,,,,
U5,ICL7660,SO8,,INTERSIL,ICL7660CBAZ,Farnell,9663703,0.75,,,,,,,
R11,RESISTOR,"0603",10k,MULTICOMP,MCTF0603TTX1002,Farnell,2395986,0.42,Precision resistor 0.01% tolerance,,,,,,
R12,RESISTOR,"0603",10k,MULTICOMP,MCTF0603TTX1002,Farnell,2395986,0.42,Precision resistor 0.01% tolerance,,,,,,
R13,RESISTOR,"0603",10k,MULTICOMP,MCTF0603TTX1002,Farnell,2395986,0.42,Precision resistor 0.01% tolerance,,,,,,
R14,RESISTOR,"0603",10k,MULTICOMP,MCTF0603TTX1002,Farnell,2395986,0.42,Precision resistor 0.01% tolerance,,,,,,
